"","TSLA.Adjusted"
"359",69
"360",63.046001
"361",62.084
"362",63.146
"363",64.732002
"364",64.461998
"365",66.814003
"366",67.098
"367",66.954002
"368",66.660004
"369",69.234001
"370",70.410004
"371",71.484001
"372",70.197998
"373",68.612
"374",66.185997
"375",67.024002
"376",66.669998
"377",65.639999
"378",66.459999
"379",65.82
"380",65.433998
"381",69.101997
"382",68.367996
"383",65.325996
"384",65.120003
"385",64.269997
"386",62.712002
"387",62.110001
"388",63.306
"389",61.82
"390",60.307999
"391",60.835999
"392",55.835999
"393",51.556
"394",53.226002
"395",50.495998
"396",53.506001
"397",57.388
"398",61.144001
"399",59.860001
"400",57.931999
"401",60.939999
"402",60.186001
"403",58.816002
"404",60.068001
"405",58.242001
"406",57.537998
"407",58.669998
"408",60.015999
"409",58.048
"410",56.674
"411",56.692001
"412",56.138
"413",57.096001
"414",58.816002
"415",58.779999
"416",59.984001
"417",60.23
"418",56.889999
"419",58.818001
"420",60.554001
"421",60.394001
"422",61.369999
"423",61.004002
"424",60.212002
"425",58.394001
"426",56.835999
"427",57.296001
"428",56.908001
"429",55.363998
"430",56.897999
"431",55.001999
"432",55.813999
"433",55.57
"434",55.77
"435",56.751999
"436",58.344002
"437",56.945999
"438",58.363998
"439",59.348
"440",58.226002
"441",63.900002
"442",63.217999
"443",63.532001
"444",66.419998
"445",68.554001
"446",68.956001
"447",71.543999
"448",71.634003
"449",74.166
"450",70.510002
"451",72.444
"452",69.501999
"453",66.725998
"454",66.601997
"455",68.400002
"456",68.900002
"457",69.986
"458",68.589996
"459",67.014
"460",62.172001
"461",61.832001
"462",61.779999
"463",63.702
"464",64.494003
"465",63.792
"466",63.341999
"467",63.773998
"468",62.02
"469",64.538002
"470",64.769997
"471",64.045998
"472",62.716
"473",60.639999
"474",59.486
"475",61.748001
"476",61.330002
"477",59.436001
"478",58.034
"479",59.627998
"480",60.167999
"481",69.907997
"482",69.634003
"483",68.398003
"484",75.914001
"485",74.068001
"486",70.489998
"487",71.098
"488",71.281998
"489",69.528
"490",67.737999
"491",67.089996
"492",61.099998
"493",61.688
"494",64.379997
"495",64.328003
"496",64.019997
"497",64.564003
"498",63.854
"499",62.372002
"500",61.001999
"501",60.630001
"502",60.332001
"503",57.790001
"504",56.147999
"505",56.189999
"506",52.647999
"507",57.099998
"508",55.888
"509",58.108002
"510",57.891998
"511",59.040001
"512",58.967999
"513",56.992001
"514",59.804001
"515",59.666
"516",59.82
"517",59.936001
"518",60.198002
"519",61.916
"520",61.504002
"521",52.953999
"522",62.139999
"523",60.203999
"524",58.959999
"525",56.366001
"526",52.389999
"527",50.112
"528",52.560001
"529",51.375999
"530",50.445999
"531",51.756001
"532",51.917999
"533",55.318001
"534",54.355999
"535",52.782001
"536",52
"537",52.189999
"538",58.827999
"539",57.700001
"540",62.972
"541",66.18
"542",66.970001
"543",65.980003
"544",67.463997
"545",68.856003
"546",69.281998
"547",68.279999
"548",68.211998
"549",69.632004
"550",70.279999
"551",70.101997
"552",66.255997
"553",67.746002
"554",68.800003
"555",69.688004
"556",70.862
"557",70.694
"558",69.498001
"559",67.638
"560",65.166
"561",69.199997
"562",68.783997
"563",69.573997
"564",68.234001
"565",70.096001
"566",71.697998
"567",71.940002
"568",72.612
"569",71.594002
"570",73.029999
"571",73.351997
"572",73.32
"573",75.358002
"574",73.141998
"575",69.683998
"576",67.405998
"577",66.594002
"578",63.076
"579",63.953999
"580",59.077999
"581",65.218002
"582",63.226002
"583",66.774002
"584",66.559998
"585",62.023998
"586",60.071999
"587",63.537998
"588",66.991997
"589",67.07
"590",67.706001
"591",68.994003
"592",69.452003
"593",66.879997
"594",68.886002
"595",69.209999
"596",69.461998
"597",60.452
"598",59.784
"599",57.518002
"600",58.301998
"601",59.408001
"602",59.276001
"603",59.492001
"604",61.754002
"605",61.403999
"606",62.442001
"607",62.577999
"608",64.269997
"609",63.444
"610",61.501999
"611",61.16
"612",62.568001
"613",62.362
"614",61.633999
"615",60.754002
"616",61.576
"617",61.127998
"618",60.512001
"619",58.245998
"620",58.942001
"621",59.754002
"622",59.571999
"623",62.948002
"624",63.976002
"625",58.958
"626",57.071999
"627",55.307999
"628",55.248001
"629",55.318001
"630",56.827999
"631",58.183998
"632",56.672001
"633",57.792
"634",57.992001
"635",55.085999
"636",53.897999
"637",53.493999
"638",54.720001
"639",54.804001
"640",52.905998
"641",52.084
"642",53.554001
"643",54.966
"644",55.723999
"645",55.972
"646",57.835999
"647",57.175999
"648",58.362
"649",53.556
"650",54.992001
"651",54.639999
"652",54.462002
"653",55.212002
"654",53.683998
"655",53.540001
